"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","107.041.300","3,17","+2,26%"
"B3SA3","B3","86.415.300","10,27","+0,39%"
"BBAS3","Banco do Brasil","80.824.400","25,37","-2,24%"
"CEAB3","C&A","63.226.600","11,55","-11,97%"
"CVCB3","CVC","58.176.400","2,30","+5,99%"
"AMER3","Americanas","56.983.700","9,41","+180,06%"
"CMIG4","Cemig","49.323.000","12,09","+5,22%"
"COGN3","Cogna","44.609.900","1,35","-4,26%"
"PDGR3","PDG Realty","41.922.500","0,01","+0,00%"
"MRVE3","MRV","41.237.300","6,44","-7,07%"
"BBDC4","Banco Bradesco","38.876.900","13,53","+0,37%"
"ABEV3","Ambev","38.027.500","12,64","-0,71%"
"MGLU3","Magazine Luiza","35.674.600","9,00","-2,81%"
"BRFS3","BRF","34.681.600","24,95","+0,04%"
"MRFG3","Marfrig","32.863.500","16,90","+8,26%"
"ITUB4","Itaú Unibanco","30.903.500","34,42","-0,29%"
"PETR4","Petrobras","30.262.100","37,27","+1,06%"
"VAMO3","Grupo Vamos","28.102.600","5,53","-1,25%"
"RAIZ4","Raízen","22.257.400","2,42","-2,42%"
"AZUL4","Azul","22.253.100","5,33","+2,50%"
"JBSS3","JBS","21.223.400","35,20","-3,38%"
"ASAI3","Assaí","20.675.000","7,06","-0,28%"
"RENT3","Localiza","20.385.400","44,73","-1,00%"
"CRFB3","Carrefour Brasil","19.098.700","6,61","-1,05%"
"CPLE6","Copel","18.893.700","9,59","+2,02%"
"LREN3","Lojas Renner","18.845.500","16,49","-0,54%"
"VALE3","Vale","17.967.600","56,84","-0,56%"
"ITSA4","Itaúsa","17.562.800","10,42","-0,86%"
"CSAN3","Cosan","14.729.900","11,30","-1,14%"
"OIBR3","Oi","14.649.100","1,00","-1,96%"
"PCAR3","Grupo Pão de Açúcar","14.450.800","2,80","-2,78%"
"RAIL3","Rumo","14.210.100","20,11","+0,15%"
"EQTL3","Equatorial Energia","13.886.700","32,67","+4,04%"
"GGBR4","Gerdau","13.262.900","20,03","+1,21%"
"PETZ3","Petz","13.209.900","4,30","-5,49%"
"BEEF3","Minerva","12.663.500","5,71","+2,88%"
"POMO4","Marcopolo","12.020.500","9,42","+1,07%"
"ONCO3","Oncoclínicas","12.002.700","3,95","-12,03%"
"GOAU4","Metalúrgica Gerdau","11.942.900","11,06","+0,36%"
"USIM5","Usiminas","11.711.300","6,10","+0,16%"
"NTCO3","Natura","10.332.400","14,38","+0,14%"
"BRAV3","3R Petroleum","10.028.300","16,65","+6,59%"
"SUZB3","Suzano","9.744.300","60,55","+1,34%"
"VBBR3","Vibra Energia","9.743.100","22,21","-0,49%"
"PETR3","Petrobras","9.511.600","40,51","+1,45%"
"CMIN3","CSN Mineração","9.467.200","5,28","+0,96%"
"CSNA3","Siderúrgica Nacional","9.446.300","10,64","+0,00%"
"UGPA3","Ultrapar","9.281.100","19,29","-6,22%"
"ELET3","Eletrobras","8.967.200","35,68","+0,48%"
"RCSL4","Recrusul","8.619.900","1,64","-3,53%"
"IFCM3","Infracommerce","8.120.000","0,12","+0,00%"
